"Which of these characters was considered, but ultimately not included, for Super Smash Bros. Melee?","James Bond","Diddy Kong","Mega Man","Wave Racer",320
"Which day in &quot;Papers, Please&quot; does the man in red appear?","Day 23","Day 20","Day 17","Day 15",321
"How many playable characters are there in Super Smash Bros. for Nintendo 3DS and Wii U?","58","48","51","55",322
"The creeper in Minecraft was the result of a bug while implementing which creature?","Pig","Zombie","Chicken","Cow",323
"How many trophies are there in &quot;Super Smash Bros. for Nintendo 3DS&quot;?","685","1360","716","1155",324
"During development of &quot;Super Mario World&quot;, Yoshi&#039;s hard saddle was originally which of these?","A shell","A slide of Gelatin","A poffin","A spike",325
"Which character from the Mega Man series made a small cameo on Volt Catfish&#039;s introduction scene in CD versions of Mega Man X3?","Auto","Eddie","Tango","Rush",326
"In the original DOOM (1993) which of the following is NOT a cheat code?","IDCLIP","IDFA","IDDQD","IDSPISPOPD",327
"Which of the following games in the The Legend of Zelda franchise was released in North America before Japan?","The Legend of Zelda: Twilight Princess","Zelda II: The Adventure of Link","The Legend of Zelda: Four Swords Adventures","The Legend of Zelda: Majora&#039;s Mask",328
"In the &quot;Little Lost Girl&quot; Easter Egg in Call of Duty: Black Ops II, what&#039;s the last step required for the achievement?","Raise Hell","Freedom","Skewer the Winged Beast","Ascend from Darkness",329
"In the &quot;Devil May Cry&quot; franchise, which game is chronologically first?","Devil May Cry 3: Dante&#039;s Awakening ","Devil May Cry 4","Devil May Cry","Devil May Cry 2",330
"According to the lore of &quot;Starbound&quot;, what does the &quot;Colony Deed&quot; do when it is placed down?","Sends out an advertisement for someone to move in.","Teleports somebody from somewhere on the planet it is placed.","Teleports a random person to the location.","Materializes a new being at it&#039;s location.",331
"What was the first &quot;Call Of Duty: Zombies&quot; map to be directed by Jason Blundell?","Mob Of The Dead","Buried","Origins","Moon",332
"In &quot;Call Of Duty: Zombies&quot;, which weapon does NOT deal any damage?","31-79 JGb215","Sliquifier","V-R11","Wunderwaffe DG-2",333
"In &quot;Call Of Duty: Zombies&quot;, &quot;Richtofen&quot; is in possession of two filled blood vials belonging to who?","Sal DeLuca and Finn O&#039;Leary","Richtofen","Al Arlington and Sal DeLuca","Jessica Rose and Jack Vincent",334
"In &quot;Magicka&quot;, which two elements are combined to cast the spell, &quot;Nullify&quot;?","Arcane + Shield","Lightning + Shield","Lightning + Life","Arcane + Life",335
"In &quot;Pok&eacute;mon Sun and Moon&quot;, Team Skull took over which town?","Po Town","Heahea City","Tapu Village","Iki Town",336
"What is the 4th boss in the 1997 video game &quot;Crash Bandicoot 2: Cortex Strikes Back&quot;?","Dr. N. Gin","Dr. Neo Cortex","Komodo Brothers","Tiny Tiger",337
"In Diablo lore, this lesser evil spawned from one of the seven heads of Tathamet, and was known as the Maiden of Anguish.","Andariel","Valla","Malthael","Kashya",338
"In World of Warcraft, which raid instance features a chess event?","Karazhan","Zul&#039;Aman","Blackwing Lair","Temple of Ahn&#039;Qiraj",339
"What is the real name of &quot;Warhead&quot; in the Sega Genesis game &quot;Vectorman&quot;?","Raster","Peacehead","Vectorkid","Bitmap",340
"What is the plane of existence in MicroProse&#039;s 1997 &quot;Magic the Gathering&quot;?","Shandalar","Theros","Ravnica","Amonkhet",341
"In &quot;Need for Speed III: Hot Pursuit&quot;, what is the name of the fictional car?","El Ni&ntilde;o","R&aacute;pido","&Aacute;gil","La Ni&ntilde;a",342
"What vault in the video game &quot;Fallout 3&quot; is the home of multiple clones named Gary?","Vault 108","Vault 101","Vault 87","Vault 21",343
"What is the name of the alien species introduced in Shadow the Hedgehog (2005)?","Black Arms","The Swarm","Black Hive","The Eclipse",344
"The creation of the  Entertainment Software Ratings Board (ESRB) is often associated with Mortal Kombat and what FMV video game?","Night Trap","Sewer Shark","The Daedalus Encounter","Corpse Killer",345
"In Disney&#039;s &quot;Toontown Online&quot;, which of these species wasn&#039;t available as a Toon?","Cow","Monkey","Bear","Pig",346
"In the indie farming game &quot;Stardew Valley&quot;, which NPC hates the &quot;prismatic shard&quot; item when received as a gift?","Haley","Abigail ","Elliott","Lewis",347
"&quot;Strangereal&quot; is a fictitious Earth-like world for which game series?","Ace Combat","Jet Set Radio","Deus Ex","Crimson Skies",348
"Which of these characters from Final Fantasy VIII primarily spoke in one word sentences?","Fujin","Raijin","Seifer","Zell",349
"In the Team Fortress 2 canon, what did Shakespearicles NOT invent?","Stairs","Two-Story Building","Rocket Launcher","Stage Play",350
"When was Pokemon GO released in North America?","July 6th, 2016","June 5th, 2016","May 24th, 2016","January 2nd, 2017",351
"In the PAYDAY series, where did Dallas start his criminal career?","Chicago, Illinois","Dallas, Texas","New York City, New York","Boston, Massachusetts",352
